# ----------------------------------------
# Adquisición
# Cuenta: PokeTypes
# Propiedad: PokeTypes App
# ----------------------------------------
#  
# Fecha de inicio: 20260206
# Fecha de finalización: 20260305
Día N,Usuarios nuevos
0000,12
0001,14
0002,12
0003,11
0004,12
0005,12
0006,13
0007,6
0008,12
0009,7
0010,11
0011,13
0012,4
0013,10
0014,12
0015,10
0016,8
0017,16
0018,13
0019,7
0020,14
0021,15
0022,15
0023,30
0024,18
0025,23
0026,36
0027,20

#  
# Fecha de inicio: 20260206
# Fecha de finalización: 20260305
Primer grupo de canales principal del usuario (Grupo de canales predeterminado),Usuarios nuevos
Direct,185
Organic Social,89
Unassigned,52
Referral,48
Organic Search,12

#  
# Fecha de inicio: 20260123
# Fecha de finalización: 20260305
Cohorte,Usuarios activos
0000,1
0001,0.06355140186915888
0002,0.05232558139534884
0003,0.04158004158004158
0004,0.03695652173913044
0005,0.013574660633484163
0006,0.03398058252427184
0007,0.032663316582914576
0008,0.02349869451697128
0009,0.024324324324324326
0010,0.01928374655647383
0011,0.011396011396011397
0012,0.011869436201780416
0013,0.015151515151515152
0014,0.021875
0015,0.012944983818770227
0016,0.016722408026755852
0017,0.013559322033898305
0018,0.007042253521126761
0019,0.010948905109489052
0020,0.00749063670411985
0021,0.01568627450980392
0022,0.01195219123505976
0023,0.008403361344537815
0024,0.013157894736842105
0025,0.0045871559633027525
0026,0.014354066985645933
0027,0.005076142131979695
0028,0.005434782608695652
0029,0.005780346820809248
0030,0
0031,0.00641025641025641
0032,0
0033,0.016129032258064516
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0

#  
# Fecha de inicio: 20251106
# Fecha de finalización: 20260305
Cohorte,Valor medio de 120 días
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
